job_title,company,location,salary,experience,description,date_posted
Data Engineer,HCL Technologies,Noida,2230000,1 year,"Data Engineer position at HCL Technologies requiring sql, dbt, snowflake, airflow, spark. Based in Noida. Looking for 1 year of industry experience.",2025-04-01
Software Engineer,Amazon,Kolkata,1950000,5 years,"Software Engineer position at Amazon requiring algorithms, git, data structures, c++. Based in Kolkata. Looking for 5 years of industry experience.",2025-05-16
Blockchain Developer,SAP,Gurugram,5656000,7 years,"Blockchain Developer position at SAP requiring web3.js, rust, smart contracts, ethereum, solidity, typescript, hardhat. Based in Gurugram. Looking for 7 years of industry experience.",2024-10-04
Senior Data Scientist,Google,Mumbai,2011000,2 years,"Senior Data Scientist position at Google requiring python, sql, pytorch, statistical modeling, causal inference. Based in Mumbai. Looking for 2 years of industry experience.",2023-05-21
Blockchain Developer,LangChain,"San Francisco, US",18145000,9 years,"Blockchain Developer position at LangChain requiring defi, ethereum, rust, smart contracts, security. Based in San Francisco, US. Looking for 9 years of industry experience.",2023-03-23
Android Developer,Arm,Hyderabad,2216000,5 years,"Android Developer position at Arm requiring mvvm, jetpack compose, rest api, java, android sdk, ci/cd. Based in Hyderabad. Looking for 5 years of industry experience.",2023-09-26
Android Developer,Amazon,"Austin, US",3431000,1 year,"Android Developer position at Amazon requiring java, kotlin, firebase, mvvm, sqlite, ci/cd. Based in Austin, US. Looking for 1 year of industry experience.",2023-05-31
Senior Data Scientist,Deutsche Bank,Noida,5981000,9 years,"Senior Data Scientist position at Deutsche Bank requiring spark, pytorch, deep learning, tensorflow, statistical modeling. Based in Noida. Looking for 9 years of industry experience.",2023-11-20
Software Engineer,Adobe,Remote,1274000,3 years,"Software Engineer position at Adobe requiring microservices, spring boot, python, linux, git, c++. Remote-friendly role. Looking for 3 years of industry experience.",2023-08-01
Frontend Developer,Niramai,Chennai,1748000,3 years,"Frontend Developer position at Niramai requiring typescript, graphql, javascript, tailwind. Based in Chennai. Looking for 3 years of industry experience.",2024-07-31
Data Engineer,Netflix,Ahmedabad,4255000,12+ years,"Data Engineer position at Netflix requiring kafka, postgres, snowflake, sql, python. Based in Ahmedabad. Looking for 12+ years of industry experience.",2023-07-09
NLP Engineer,Databricks,Gurugram,3594000,3 years,"NLP Engineer position at Databricks requiring python, text classification, pytorch, huggingface. Based in Gurugram. Looking for 3 years of industry experience.",2024-06-20
MLOps Engineer,Scale AI,Bengaluru,2339000,5 years,"MLOps Engineer position at Scale AI requiring terraform, mlflow, kubeflow, monitoring, airflow, aws, ci/cd. Based in Bengaluru. Looking for 5 years of industry experience.",2025-01-26
Senior Software Engineer,Broadcom,Pune,2546000,3 years,"Senior Software Engineer position at Broadcom requiring python, kubernetes, ci/cd, java, aws. Based in Pune. Looking for 3 years of industry experience.",2025-01-02
Full Stack Developer,Observe.AI,Remote,1046000,3 years,"Full Stack Developer position at Observe.AI requiring typescript, aws, mongodb, docker. Remote-friendly role. Looking for 3 years of industry experience.",2023-11-13
Data Analyst,Freshworks,Jaipur,1800000,7 years,"Data Analyst position at Freshworks requiring excel, pandas, sql, python, statistics. Based in Jaipur. Looking for 7 years of industry experience.",2024-11-11
LLM Engineer,LangChain,Kolkata,4182000,5 years,"LLM Engineer position at LangChain requiring rag, pytorch, transformers, fine-tuning, python. Based in Kolkata. Looking for 5 years of industry experience.",2025-08-21
Backend Developer,Amazon,"San Francisco, US",3349000,2 years,"Backend Developer position at Amazon requiring docker, redis, postgresql, node.js, python, rest api, mongodb. Based in San Francisco, US. Looking for 2 years of industry experience.",2024-11-03
Senior Software Engineer,Capgemini,Kolkata,1134000,0 years,"Senior Software Engineer position at Capgemini requiring ci/cd, grpc, java, aws, kubernetes, system design. Based in Kolkata. Looking for 0 years of industry experience.",2023-02-26
Computer Vision Engineer,Together AI,Gurugram,1462000,2 years,"Computer Vision Engineer position at Together AI requiring cuda, yolo, python, c++, onnx. Based in Gurugram. Looking for 2 years of industry experience.",2025-06-08
Business Analyst,Krutrim,Chennai,835000,2 years,"Business Analyst position at Krutrim requiring reporting, python, excel, requirements gathering, jira, power bi, tableau. Based in Chennai. Looking for 2 years of industry experience.",2023-04-01
AI Engineer,Sarvam AI,Mumbai,5857000,9 years,"AI Engineer position at Sarvam AI requiring vector databases, fastapi, pytorch, prompt engineering, llm. Based in Mumbai. Looking for 9 years of industry experience.",2024-10-04
ML Engineer,Deutsche Bank,Ahmedabad,2629000,5 years,"ML Engineer position at Deutsche Bank requiring scikit-learn, docker, spark, tensorflow, mlflow, sql. Based in Ahmedabad. Looking for 5 years of industry experience.",2026-02-09
Data Engineer,Razorpay,Gurugram,2067000,9 years,"Data Engineer position at Razorpay requiring sql, kafka, dbt, postgres, python, hadoop, snowflake. Based in Gurugram. Looking for 9 years of industry experience.",2024-03-06
Blockchain Developer,Meta,Kolkata,2379000,4 years,"Blockchain Developer position at Meta requiring typescript, security, python, hardhat, ethereum, smart contracts. Based in Kolkata. Looking for 4 years of industry experience.",2025-08-27
Product Manager,Arm,"Austin, US",18058000,8 years,"Product Manager position at Arm requiring roadmap, analytics, user research, product strategy, go-to-market. Based in Austin, US. Looking for 8 years of industry experience.",2024-09-27
Site Reliability Engineer,Zomato,Mumbai,3054000,9 years,"Site Reliability Engineer position at Zomato requiring kubernetes, python, linux, monitoring. Based in Mumbai. Looking for 9 years of industry experience.",2023-05-30
DevOps Engineer,Razorpay,Bengaluru,3217000,6 years,"DevOps Engineer position at Razorpay requiring linux, python, jenkins, docker, monitoring. Based in Bengaluru. Looking for 6 years of industry experience.",2023-01-12
Software Engineer,Cohere,Hyderabad,3395000,7 years,"Software Engineer position at Cohere requiring algorithms, sql, c++, microservices. Based in Hyderabad. Looking for 7 years of industry experience.",2025-11-26
Site Reliability Engineer,PwC,Gurugram,2449000,3 years,"Site Reliability Engineer position at PwC requiring linux, aws, incident management, alerting. Based in Gurugram. Looking for 3 years of industry experience.",2025-12-23
AI Engineer,Together AI,Jaipur,6034000,9 years,"AI Engineer position at Together AI requiring prompt engineering, aws, fastapi, docker, langchain, openai api, pytorch. Based in Jaipur. Looking for 9 years of industry experience.",2025-08-30
Data Analyst,Razorpay,Delhi,1280000,4 years,"Data Analyst position at Razorpay requiring reporting, data visualization, tableau, excel, r, sql. Based in Delhi. Looking for 4 years of industry experience.",2024-08-08
ML Engineer,Vcana Global,Gurugram,1923000,4 years,"ML Engineer position at Vcana Global requiring tensorflow, fastapi, mlflow, sql. Based in Gurugram. Looking for 4 years of industry experience.",2023-11-09
QA Engineer,JPMorgan,Kolkata,1248000,5 years,"QA Engineer position at JPMorgan requiring postman, test planning, ci/cd, rest api, selenium, pytest, appium. Based in Kolkata. Looking for 5 years of industry experience.",2025-03-08
Cloud Architect,Ola,Remote,8094000,7 years,"Cloud Architect position at Ola requiring devops, security, networking, aws. Remote-friendly role. Looking for 7 years of industry experience.",2024-12-21
MLOps Engineer,Together AI,Bengaluru,2016000,2 years,"MLOps Engineer position at Together AI requiring terraform, monitoring, docker, aws, kubeflow, kubernetes, ci/cd. Based in Bengaluru. Looking for 2 years of industry experience.",2025-09-21
NLP Engineer,Micron,"Dubai, UAE",2834000,4 years,"NLP Engineer position at Micron requiring pytorch, llm, sql, nltk, ner, python, spacy. Based in Dubai, UAE. Looking for 4 years of industry experience.",2026-04-27
Software Engineer,Adobe,"Berlin, Germany",7066000,12+ years,"Software Engineer position at Adobe requiring c++, data structures, microservices, python, spring boot, sql, linux. Based in Berlin, Germany. Looking for 12+ years of industry experience.",2024-03-09
NLP Engineer,Microsoft,"New York, US",8214000,4 years,"NLP Engineer position at Microsoft requiring nltk, ner, sql, huggingface, python, spacy, text classification. Based in New York, US. Looking for 4 years of industry experience.",2026-01-09
iOS Developer,Flipkart,Pune,1096000,5 years,"iOS Developer position at Flipkart requiring objective-c, swift, ci/cd, app store, rest api. Based in Pune. Looking for 5 years of industry experience.",2023-02-11
NLP Engineer,Stability AI,Ahmedabad,1938000,1 year,"NLP Engineer position at Stability AI requiring transformers, spacy, llm, text classification, pytorch, ner, sql. Based in Ahmedabad. Looking for 1 year of industry experience.",2026-05-25
DevOps Engineer,Meesho,"Amsterdam, NL",6117000,5 years,"DevOps Engineer position at Meesho requiring terraform, ci/cd, docker, monitoring. Based in Amsterdam, NL. Looking for 5 years of industry experience.",2023-02-22
QA Engineer,McKinsey,Jaipur,1955000,7 years,"QA Engineer position at McKinsey requiring appium, rest api, pytest, sql, postman, ci/cd, selenium. Based in Jaipur. Looking for 7 years of industry experience.",2024-09-09
LLM Engineer,Morgan Stanley,Pune,7123000,8 years,"LLM Engineer position at Morgan Stanley requiring vllm, python, langchain, rag. Based in Pune. Looking for 8 years of industry experience.",2025-05-27
QA Engineer,OpenAI,"London, UK",3731000,5 years,"QA Engineer position at OpenAI requiring selenium, appium, ci/cd, python, rest api, jira. Based in London, UK. Looking for 5 years of industry experience.",2025-07-30
Android Developer,McKinsey,Kolkata,2607000,8 years,"Android Developer position at McKinsey requiring git, ci/cd, firebase, jetpack compose, sqlite, mvvm. Based in Kolkata. Looking for 8 years of industry experience.",2024-07-03
QA Engineer,Salesforce,Chennai,641000,1 year,"QA Engineer position at Salesforce requiring sql, ci/cd, rest api, appium. Based in Chennai. Looking for 1 year of industry experience.",2025-08-09
Cloud Architect,Datadog,Bengaluru,6362000,5 years,"Cloud Architect position at Datadog requiring aws, networking, docker, azure, terraform, security. Based in Bengaluru. Looking for 5 years of industry experience.",2024-12-27
MLOps Engineer,Tech Mahindra,Kolkata,1908000,0 years,"MLOps Engineer position at Tech Mahindra requiring terraform, mlflow, docker, monitoring, kubeflow, aws. Based in Kolkata. Looking for 0 years of industry experience.",2025-09-27
Android Developer,CRED,Chennai,1898000,5 years,"Android Developer position at CRED requiring firebase, git, kotlin, ci/cd, android sdk, java, jetpack compose. Based in Chennai. Looking for 5 years of industry experience.",2024-05-13
Security Engineer,Weights & Biases,Gurugram,1628000,1 year,"Security Engineer position at Weights & Biases requiring splunk, compliance, devsecops, python, threat modeling, zero trust, aws. Based in Gurugram. Looking for 1 year of industry experience.",2024-12-21
Senior Software Engineer,Cohere,Delhi,4198000,6 years,"Senior Software Engineer position at Cohere requiring distributed systems, java, aws, system design, python, kubernetes. Based in Delhi. Looking for 6 years of industry experience.",2024-01-15
Product Manager,OpenAI,"Toronto, Canada",4661000,3 years,"Product Manager position at OpenAI requiring go-to-market, a/b testing, analytics, product strategy, roadmap, agile. Based in Toronto, Canada. Looking for 3 years of industry experience.",2024-04-10
Android Developer,Atlassian,Pune,995000,1 year,"Android Developer position at Atlassian requiring mvvm, kotlin, ci/cd, git, android sdk. Based in Pune. Looking for 1 year of industry experience.",2023-09-16
Software Engineer,PayPal,"Dubai, UAE",5417000,7 years,"Software Engineer position at PayPal requiring python, git, data structures, sql. Based in Dubai, UAE. Looking for 7 years of industry experience.",2025-06-21
Generative AI Engineer,Zomato,Hyderabad,3043000,3 years,"Generative AI Engineer position at Zomato requiring fastapi, langchain, pytorch, stable diffusion, prompt engineering, python. Based in Hyderabad. Looking for 3 years of industry experience.",2026-03-27
Data Engineer,Accenture,Ahmedabad,1593000,3 years,"Data Engineer position at Accenture requiring hadoop, kafka, spark, snowflake, python. Based in Ahmedabad. Looking for 3 years of industry experience.",2026-02-16
NLP Engineer,Mistral AI,Jaipur,3933000,6 years,"NLP Engineer position at Mistral AI requiring huggingface, ner, llm, spacy, pytorch. Based in Jaipur. Looking for 6 years of industry experience.",2026-04-20
Agentic AI Developer,Netflix,Gurugram,8327000,7 years,"Agentic AI Developer position at Netflix requiring fastapi, langchain, crewai, tool use. Based in Gurugram. Looking for 7 years of industry experience.",2024-03-08
Software Engineer,Hexaware,Mumbai,792000,0 years,"Software Engineer position at Hexaware requiring c++, spring boot, java, data structures, python. Based in Mumbai. Looking for 0 years of industry experience.",2025-04-16
iOS Developer,Datadog,Ahmedabad,1019000,1 year,"iOS Developer position at Datadog requiring swift, xcode, mvvm, core data, swiftui, ci/cd. Based in Ahmedabad. Looking for 1 year of industry experience.",2023-05-26
Computer Vision Engineer,Flipkart,Remote,3227000,4 years,"Computer Vision Engineer position at Flipkart requiring deep learning, opencv, tensorflow, image segmentation, onnx. Remote-friendly role. Looking for 4 years of industry experience.",2024-06-28
Generative AI Engineer,LangChain,Kolkata,2377000,0 years,"Generative AI Engineer position at LangChain requiring rag, llm, fastapi, python, stable diffusion. Based in Kolkata. Looking for 0 years of industry experience.",2024-09-14
LLM Engineer,Databricks,Kolkata,6291000,9 years,"LLM Engineer position at Databricks requiring vector databases, transformers, python, fine-tuning, langchain, pytorch, rag. Based in Kolkata. Looking for 9 years of industry experience.",2023-02-22
Data Analyst,Birlasoft,Hyderabad,1017000,6 years,"Data Analyst position at Birlasoft requiring power bi, sql, excel, tableau. Based in Hyderabad. Looking for 6 years of industry experience.",2025-11-28
Software Engineer,Niramai,Delhi,2591000,6 years,"Software Engineer position at Niramai requiring microservices, algorithms, data structures, python, sql. Based in Delhi. Looking for 6 years of industry experience.",2024-12-13
Generative AI Engineer,Twilio,Kolkata,2924000,5 years,"Generative AI Engineer position at Twilio requiring openai api, vector databases, prompt engineering, pytorch. Based in Kolkata. Looking for 5 years of industry experience.",2025-10-11
NLP Engineer,Mad Street Den,Chennai,3999000,9 years,"NLP Engineer position at Mad Street Den requiring llm, transformers, text classification, pytorch. Based in Chennai. Looking for 9 years of industry experience.",2024-10-24
Data Scientist,Razorpay,Mumbai,1055000,0 years,"Data Scientist position at Razorpay requiring tableau, tensorflow, statistics, python. Based in Mumbai. Looking for 0 years of industry experience.",2024-01-20
Backend Developer,Birlasoft,Ahmedabad,1322000,3 years,"Backend Developer position at Birlasoft requiring mongodb, python, postgresql, java, redis, node.js, rest api. Based in Ahmedabad. Looking for 3 years of industry experience.",2025-06-16
iOS Developer,Deutsche Bank,Bengaluru,2557000,3 years,"iOS Developer position at Deutsche Bank requiring app store, xcode, swiftui, firebase. Based in Bengaluru. Looking for 3 years of industry experience.",2026-02-02
Frontend Developer,LangChain,Ahmedabad,996000,9 years,"Frontend Developer position at LangChain requiring typescript, tailwind, webpack, next.js, graphql. Based in Ahmedabad. Looking for 9 years of industry experience.",2025-10-17
Product Manager,Google,"San Francisco, US",12629000,2 years,"Product Manager position at Google requiring stakeholder management, sql, a/b testing, roadmap, jira, analytics. Based in San Francisco, US. Looking for 2 years of industry experience.",2023-10-24
Product Manager,Observe.AI,"San Francisco, US",10362000,4 years,"Product Manager position at Observe.AI requiring roadmap, analytics, stakeholder management, agile, a/b testing. Based in San Francisco, US. Looking for 4 years of industry experience.",2024-07-01
LLM Engineer,Apple,Jaipur,6481000,10+ years,"LLM Engineer position at Apple requiring vllm, vector databases, pytorch, fine-tuning, rag, openai api. Based in Jaipur. Looking for 10+ years of industry experience.",2024-12-07
iOS Developer,IBM,Noida,2022000,7 years,"iOS Developer position at IBM requiring firebase, core data, xcode, ci/cd, objective-c, mvvm, app store. Based in Noida. Looking for 7 years of industry experience.",2024-04-23
Backend Developer,OpenAI,"London, UK",8682000,8 years,"Backend Developer position at OpenAI requiring mongodb, rest api, fastapi, docker, django, node.js. Based in London, UK. Looking for 8 years of industry experience.",2025-10-11
AI Engineer,Oracle,"Austin, US",6460000,0 years,"AI Engineer position at Oracle requiring pytorch, docker, prompt engineering, langchain, openai api, python. Based in Austin, US. Looking for 0 years of industry experience.",2023-10-23
Blockchain Developer,Amazon,Mumbai,5796000,10+ years,"Blockchain Developer position at Amazon requiring ethereum, typescript, smart contracts, web3.js, python. Based in Mumbai. Looking for 10+ years of industry experience.",2025-03-25
NLP Engineer,LangChain,Delhi,3913000,4 years,"NLP Engineer position at LangChain requiring text classification, llm, python, nltk, huggingface, transformers, pytorch. Based in Delhi. Looking for 4 years of industry experience.",2024-04-10
MLOps Engineer,Capgemini,Chennai,4643000,7 years,"MLOps Engineer position at Capgemini requiring kubeflow, aws, kubernetes, airflow. Based in Chennai. Looking for 7 years of industry experience.",2024-09-05
Security Engineer,Razorpay,"San Francisco, US",12213000,5 years,"Security Engineer position at Razorpay requiring zero trust, devsecops, splunk, python. Based in San Francisco, US. Looking for 5 years of industry experience.",2023-10-26
Senior Software Engineer,Atlassian,Delhi,3636000,9 years,"Senior Software Engineer position at Atlassian requiring system design, aws, java, kubernetes, distributed systems. Based in Delhi. Looking for 9 years of industry experience.",2024-05-08
LLM Engineer,Swiggy,Mumbai,5872000,8 years,"LLM Engineer position at Swiggy requiring vector databases, rag, vllm, pytorch, langchain. Based in Mumbai. Looking for 8 years of industry experience.",2023-01-20
DevOps Engineer,Zensar,Mumbai,4689000,7 years,"DevOps Engineer position at Zensar requiring monitoring, terraform, docker, aws, jenkins, ci/cd. Based in Mumbai. Looking for 7 years of industry experience.",2024-09-04
Backend Developer,PwC,"San Francisco, US",4425000,1 year,"Backend Developer position at PwC requiring mongodb, redis, postgresql, django, rest api, python. Based in San Francisco, US. Looking for 1 year of industry experience.",2024-04-30
Backend Developer,Salesforce,"Amsterdam, NL",3044000,4 years,"Backend Developer position at Salesforce requiring redis, python, rest api, java, fastapi, django. Based in Amsterdam, NL. Looking for 4 years of industry experience.",2023-04-11
Android Developer,Observe.AI,Singapore,8775000,7 years,"Android Developer position at Observe.AI requiring jetpack compose, rest api, git, ci/cd, java, mvvm. Based in Singapore. Looking for 7 years of industry experience.",2024-05-28
LLM Engineer,Genpact,Mumbai,5480000,5 years,"LLM Engineer position at Genpact requiring transformers, python, rag, openai api, fine-tuning. Based in Mumbai. Looking for 5 years of industry experience.",2023-03-10
Agentic AI Developer,PhonePe,"London, UK",13056000,5 years,"Agentic AI Developer position at PhonePe requiring openai api, tool use, rag, langchain. Based in London, UK. Looking for 5 years of industry experience.",2024-02-16
Software Engineer,NIIT Technologies,Remote,689000,1 year,"Software Engineer position at NIIT Technologies requiring spring boot, microservices, git, algorithms, java, c++. Remote-friendly role. Looking for 1 year of industry experience.",2025-09-13
Frontend Developer,IBM,Kolkata,2205000,6 years,"Frontend Developer position at IBM requiring typescript, tailwind, webpack, graphql, redux, html. Based in Kolkata. Looking for 6 years of industry experience.",2026-02-15
NLP Engineer,Google,Chennai,4301000,9 years,"NLP Engineer position at Google requiring nltk, huggingface, transformers, spacy. Based in Chennai. Looking for 9 years of industry experience.",2025-01-24
Senior Data Scientist,Infosys,"Dubai, UAE",18954000,12+ years,"Senior Data Scientist position at Infosys requiring spark, pytorch, deep learning, causal inference, python, mlops, tensorflow. Based in Dubai, UAE. Looking for 12+ years of industry experience.",2024-03-29
Senior Software Engineer,Anthropic,"Austin, US",20096000,15+ years,"Senior Software Engineer position at Anthropic requiring kubernetes, java, java, rest api, python, ci/cd, system design. Based in Austin, US. Looking for 15+ years of industry experience.",2025-10-05
Backend Developer,Artivatic,Delhi,1083000,5 years,"Backend Developer position at Artivatic requiring rest api, mongodb, docker, fastapi, django. Based in Delhi. Looking for 5 years of industry experience.",2026-01-11
Site Reliability Engineer,Twilio,Ahmedabad,2628000,6 years,"Site Reliability Engineer position at Twilio requiring ci/cd, terraform, linux, monitoring, python. Based in Ahmedabad. Looking for 6 years of industry experience.",2024-07-26
Cloud Architect,Hexaware,"Austin, US",4555000,3 years,"Cloud Architect position at Hexaware requiring networking, terraform, docker, aws, devops, gcp, kubernetes. Based in Austin, US. Looking for 3 years of industry experience.",2023-05-05
NLP Engineer,Twilio,"Austin, US",7443000,6 years,"NLP Engineer position at Twilio requiring llm, transformers, spacy, text classification. Based in Austin, US. Looking for 6 years of industry experience.",2026-05-07
MLOps Engineer,Datadog,Hyderabad,3847000,4 years,"MLOps Engineer position at Datadog requiring docker, kubernetes, monitoring, mlflow, python, kubeflow. Based in Hyderabad. Looking for 4 years of industry experience.",2026-04-15
Cloud Architect,Vcana Global,Mumbai,7663000,12+ years,"Cloud Architect position at Vcana Global requiring gcp, aws, kubernetes, security, azure, docker. Based in Mumbai. Looking for 12+ years of industry experience.",2026-01-11
Business Analyst,Amazon,Delhi,1244000,8 years,"Business Analyst position at Amazon requiring tableau, sql, agile, stakeholder management. Based in Delhi. Looking for 8 years of industry experience.",2024-05-02
Data Analyst,Micron,Hyderabad,1815000,8 years,"Data Analyst position at Micron requiring sql, excel, pandas, power bi, r, statistics. Based in Hyderabad. Looking for 8 years of industry experience.",2025-09-02
NLP Engineer,Weights & Biases,Jaipur,2179000,4 years,"NLP Engineer position at Weights & Biases requiring llm, huggingface, spacy, nltk. Based in Jaipur. Looking for 4 years of industry experience.",2023-03-30
NLP Engineer,Mphasis,"New York, US",7922000,0 years,"NLP Engineer position at Mphasis requiring llm, python, huggingface, spacy, ner, text classification. Based in New York, US. Looking for 0 years of industry experience.",2023-08-10
LLM Engineer,Observe.AI,"San Francisco, US",9890000,2 years,"LLM Engineer position at Observe.AI requiring transformers, langchain, pytorch, python. Based in San Francisco, US. Looking for 2 years of industry experience.",2023-09-16
DevOps Engineer,Vcana Global,Chennai,2590000,9 years,"DevOps Engineer position at Vcana Global requiring linux, monitoring, ci/cd, aws, python, ansible. Based in Chennai. Looking for 9 years of industry experience.",2025-05-31
iOS Developer,Adobe,Remote,868000,3 years,"iOS Developer position at Adobe requiring rest api, firebase, xcode, ci/cd, swiftui. Remote-friendly role. Looking for 3 years of industry experience.",2025-07-17
Senior Software Engineer,Deutsche Bank,"New York, US",20232000,15+ years,"Senior Software Engineer position at Deutsche Bank requiring java, ci/cd, kubernetes, system design, java, distributed systems. Based in New York, US. Looking for 15+ years of industry experience.",2023-05-18
Embedded Systems Engineer,Genpact,Delhi,1658000,10+ years,"Embedded Systems Engineer position at Genpact requiring c++, hardware debugging, rtos, linux, c, can bus, python. Based in Delhi. Looking for 10+ years of industry experience.",2023-09-08
iOS Developer,Twilio,Gurugram,1473000,2 years,"iOS Developer position at Twilio requiring swift, mvvm, ci/cd, swiftui, app store, firebase, objective-c. Based in Gurugram. Looking for 2 years of industry experience.",2023-11-13
NLP Engineer,Byju's,Kolkata,3775000,7 years,"NLP Engineer position at Byju's requiring text classification, huggingface, sql, python. Based in Kolkata. Looking for 7 years of industry experience.",2024-07-24
DevOps Engineer,PhonePe,Chennai,3322000,7 years,"DevOps Engineer position at PhonePe requiring jenkins, ci/cd, kubernetes, docker. Based in Chennai. Looking for 7 years of industry experience.",2024-07-13
Data Engineer,Anthropic,Jaipur,3073000,9 years,"Data Engineer position at Anthropic requiring aws, python, sql, dbt, spark, kafka. Based in Jaipur. Looking for 9 years of industry experience.",2025-03-31
Cloud Architect,Qualcomm,Delhi,2536000,4 years,"Cloud Architect position at Qualcomm requiring azure, ci/cd, terraform, networking. Based in Delhi. Looking for 4 years of industry experience.",2025-05-09
Frontend Developer,IBM,Bengaluru,1906000,6 years,"Frontend Developer position at IBM requiring next.js, typescript, react, graphql, redux, css. Based in Bengaluru. Looking for 6 years of industry experience.",2023-04-12
Business Analyst,Meesho,Gurugram,890000,0 years,"Business Analyst position at Meesho requiring power bi, reporting, stakeholder management, tableau, excel, jira, sql. Based in Gurugram. Looking for 0 years of industry experience.",2024-12-07
